Anno,Temp Media (oC)_mean,Temp Media (oC)_var,Temp Max (oC)_mean,Temp Max (oC)_var,Temp Minima (oC)_mean,Temp Minima (oC)_var,Humedad Media (%)_mean,Humedad Media (%)_var,Humedad Max (%)_mean,Humedad Max (%)_var,Humedad Min (%)_mean,Humedad Min (%)_var,Velviento (m/s)_mean,Velviento (m/s)_var,DirViento (o)_mean,DirViento (o)_var,VelVientoMax (m/s)_mean,VelVientoMax (m/s)_var,Precipitacion (mm)_mean,Precipitacion (mm)_var,Temp Media (oC)_mean_Semana_Pasada,Temp Media (oC)_var_Semana_Pasada,Temp Max (oC)_mean_Semana_Pasada,Temp Max (oC)_var_Semana_Pasada,Temp Minima (oC)_mean_Semana_Pasada,Temp Minima (oC)_var_Semana_Pasada,Humedad Media (%)_mean_Semana_Pasada,Humedad Media (%)_var_Semana_Pasada,Humedad Max (%)_mean_Semana_Pasada,Humedad Max (%)_var_Semana_Pasada,Humedad Min (%)_mean_Semana_Pasada,Humedad Min (%)_var_Semana_Pasada,Velviento (m/s)_mean_Semana_Pasada,Velviento (m/s)_var_Semana_Pasada,DirViento (o)_mean_Semana_Pasada,DirViento (o)_var_Semana_Pasada,VelVientoMax (m/s)_mean_Semana_Pasada,VelVientoMax (m/s)_var_Semana_Pasada,Precipitacion (mm)_mean_Semana_Pasada,Precipitacion (mm)_var_Semana_Pasada,superficie,numero_incendios,Sin_Semana,Cos_Semana,superficie_anterior,numero_anterior
2009,11.6986,1.7684,25.1029,3.79,0.4629,3.0019,63.0586,18.1444,97.5286,2.4724,19.2214,37.3702,0.6171,0.0192,188.9171,9715.7207,3.4586,1.8004,0.0,0.0,9.6371,2.7444,23.3914,6.6512,0.0229,2.8854,68.4471,50.8907,98.3,0.8867,20.2771,54.8604,0.5086,0.0089,189.3143,5146.3981,3.1129,1.3719,0.0286,0.0057,1916.3,88.0,0.992708874098054,0.120536680255323,350.14,42.0
2009,8.5014,1.9714,19.61,26.2788,-0.4643,2.524,69.5586,12.5772,96.4,15.8367,29.3571,187.8361,0.8886,0.1753,195.6543,20818.2296,5.0714,3.6741,0.0857,0.0248,11.6986,1.7684,25.1029,3.79,0.4629,3.0019,63.0586,18.1444,97.5286,2.4724,19.2214,37.3702,0.6171,0.0192,188.9171,9715.7207,3.4586,1.8004,0.0,0.0,802.82,51.0,1.0,-1.6081226496766366e-16,1916.3,88.0
2009,8.6729,6.1604,18.9214,5.7982,-0.0457,20.1086,68.0986,7.8329,97.1,6.0867,27.3543,93.1691,0.7271,0.0173,202.1186,14452.1151,4.7771,0.8367,0.0857,0.0514,8.5014,1.9714,19.61,26.2788,-0.4643,2.524,69.5586,12.5772,96.4,15.8367,29.3571,187.8361,0.8886,0.1753,195.6543,20818.2296,5.0714,3.6741,0.0857,0.0248,189.11,25.0,0.992708874098054,-0.12053668025532288,802.82,51.0
2009,7.9129,1.2555,15.2443,6.2903,1.9429,1.3721,78.1571,34.7762,98.1143,1.1581,43.1343,88.1275,0.8486,0.03,253.8143,836.3548,5.0786,1.401,3.1429,20.8629,8.6729,6.1604,18.9214,5.7982,-0.0457,20.1086,68.0986,7.8329,97.1,6.0867,27.3543,93.1691,0.7271,0.0173,202.1186,14452.1151,4.7771,0.8367,0.0857,0.0514,46.2,4.0,0.9709418174260521,-0.2393156642875575,189.11,25.0
2009,8.2129,1.1219,15.5114,6.7525,2.52,1.9075,80.4286,15.559,98.3571,0.7829,45.9671,133.8872,0.8243,0.0236,244.2143,1761.1114,4.7743,0.5841,2.3714,7.0057,7.9129,1.2555,15.2443,6.2903,1.9429,1.3721,78.1571,34.7762,98.1143,1.1581,43.1343,88.1275,0.8486,0.03,253.8143,836.3548,5.0786,1.401,3.1429,20.8629,0.0,0.0,0.9350162426854148,-0.35460488704253545,46.2,4.0
2009,10.3,9.4364,21.2229,26.6878,1.2443,2.3411,69.9729,68.9394,98.1429,1.9029,28.5143,194.2727,0.7186,0.0084,210.8443,18206.7261,4.5129,0.9975,0.7143,3.2514,8.2129,1.1219,15.5114,6.7525,2.52,1.9075,80.4286,15.559,98.3571,0.7829,45.9671,133.8872,0.8243,0.0236,244.2143,1761.1114,4.7743,0.5841,2.3714,7.0057,67.46,12.0,0.8854560256532099,-0.4647231720437685,0.0,0.0
2009,11.2129,3.3448,18.6514,28.7529,3.7386,8.0289,75.1,54.0088,96.4714,5.119,46.4986,250.7419,0.88,0.0283,202.7543,13339.0233,4.65,0.3673,1.0,1.7467,10.3,9.4364,21.2229,26.6878,1.2443,2.3411,69.9729,68.9394,98.1429,1.9029,28.5143,194.2727,0.7186,0.0084,210.8443,18206.7261,4.5129,0.9975,0.7143,3.2514,69.8,5.0,0.8229838658936565,-0.5680647467311557,67.46,12.0
2009,15.2657,1.829,25.6543,9.3327,6.3714,8.9709,68.3757,41.0505,96.6,10.56,32.7643,144.5597,0.7529,0.0057,210.5929,16355.9346,4.3843,0.3255,1.0286,7.4057,11.2129,3.3448,18.6514,28.7529,3.7386,8.0289,75.1,54.0088,96.4714,5.119,46.4986,250.7419,0.88,0.0283,202.7543,13339.0233,4.65,0.3673,1.0,1.7467,200.3,19.0,0.7485107481711013,-0.663122658240795,69.8,5.0
2009,11.1171,1.0394,16.4843,2.1085,5.8157,4.6934,82.7371,72.5603,96.9429,6.9629,58.8329,191.9101,0.7457,0.0298,225.2143,1975.8081,4.3586,0.9451,3.9429,34.6762,15.2657,1.829,25.6543,9.3327,6.3714,8.9709,68.3757,41.0505,96.6,10.56,32.7643,144.5597,0.7529,0.0057,210.5929,16355.9346,4.3843,0.3255,1.0286,7.4057,4.0,1.0,0.6631226582407952,-0.7485107481711012,200.3,19.0
2009,14.3386,2.6801,22.8171,13.3262,6.9314,15.1232,73.5629,81.3529,96.6714,7.4324,42.6914,235.4457,0.6586,0.0031,318.1286,395.2524,3.7357,0.3949,1.0571,4.7295,11.1171,1.0394,16.4843,2.1085,5.8157,4.6934,82.7371,72.5603,96.9429,6.9629,58.8329,191.9101,0.7457,0.0298,225.2143,1975.8081,4.3586,0.9451,3.9429,34.6762,12.0,3.0,0.5680647467311558,-0.8229838658936564,4.0,1.0
2009,16.2329,17.8711,26.3957,58.7834,5.6914,2.0446,67.1271,161.9555,98.4429,0.2495,30.0857,568.1714,0.6329,0.0233,227.5671,19952.0372,3.6471,0.7238,1.3714,12.539,14.3386,2.6801,22.8171,13.3262,6.9314,15.1232,73.5629,81.3529,96.6714,7.4324,42.6914,235.4457,0.6586,0.0031,318.1286,395.2524,3.7357,0.3949,1.0571,4.7295,9.25,3.0,0.46472317204376906,-0.8854560256532096,12.0,3.0
2009,15.5057,13.4373,23.3243,50.0812,8.1914,3.0736,75.7029,173.0343,98.5571,0.7529,45.8371,484.6248,0.5929,0.0048,275.1714,3932.9724,4.2014,0.3528,2.8571,20.0895,16.2329,17.8711,26.3957,58.7834,5.6914,2.0446,67.1271,161.9555,98.4429,0.2495,30.0857,568.1714,0.6329,0.0233,227.5671,19952.0372,3.6471,0.7238,1.3714,12.539,25.4,3.0,0.35460488704253584,-0.9350162426854147,9.25,3.0
2009,17.6314,14.6676,25.2,41.4155,11.5429,4.3919,74.5486,73.8731,96.6286,6.3657,44.0,363.9671,0.7286,0.1381,235.1143,6577.2981,3.9057,1.748,3.9429,52.0362,15.5057,13.4373,23.3243,50.0812,8.1914,3.0736,75.7029,173.0343,98.5571,0.7529,45.8371,484.6248,0.5929,0.0048,275.1714,3932.9724,4.2014,0.3528,2.8571,20.0895,0.0,0.0,0.23931566428755768,-0.970941817426052,25.4,3.0
